Indicator,Country,ADM1_CODE,Province,Land_Type,Date,Data,Year,Month,Dekad,Unit,Source
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-07-11,4.348, 1984,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-07-21,25.373, 1984,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-08-01,42.254, 1984,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-08-11,28.169, 1984,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-08-21,32.394, 1984,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-09-01,29.577, 1984,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-09-11,21.127, 1984,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-09-21,16.901, 1984,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-10-01,4.444, 1984,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-10-11,0.0, 1984,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-10-21,0.0, 1984,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1984-11-01,0.0, 1984,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-07-11,60.87, 1985,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-07-21,76.119, 1985,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-08-01,66.197, 1985,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-08-11,50.704, 1985,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-08-21,49.296, 1985,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-09-01,50.704, 1985,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-09-11,53.521, 1985,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-09-21,53.521, 1985,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-10-01,60.0, 1985,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-10-11,16.667, 1985,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-10-21,0.0, 1985,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1985-11-01,0.0, 1985,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-07-11,30.435, 1986,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-07-21,53.731, 1986,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-08-01,59.155, 1986,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-08-11,53.521, 1986,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-08-21,54.93, 1986,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-09-01,60.563, 1986,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-09-11,54.93, 1986,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-09-21,52.113, 1986,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-10-01,57.778, 1986,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-10-11,83.333, 1986,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-10-21,50.0, 1986,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1986-11-01,0.0, 1986,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-07-11,95.652, 1987,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-07-21,94.03, 1987,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-08-01,98.592, 1987,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-08-11,92.958, 1987,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-08-21,87.324, 1987,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-09-01,88.732, 1987,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-09-11,90.141, 1987,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-09-21,84.507, 1987,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-10-01,77.778, 1987,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-10-11,66.667, 1987,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-10-21,50.0, 1987,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1987-11-01,0.0, 1987,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-07-11,13.043, 1988,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-07-21,19.403, 1988,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-08-01,5.634, 1988,08,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-08-11,2.817, 1988,08,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-08-21,0.0, 1988,08,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-09-01,0.0, 1988,09,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-09-11,0.0, 1988,09,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-09-21,0.0, 1988,09,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-10-01,0.0, 1988,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-10-11,0.0, 1988,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-10-21,0.0, 1988,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1988-11-01,0.0, 1988,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-07-11,100.0, 1989,07,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),Niger,2202,Agadez,Crop Area,1989-07-21,80.597, 1989,07,3, % of area with Mean VHI below 35 ,FAO-ASIS
