year,exercise,pop,p3,p4,p5,p35,pct35
2014,Jan-May,16.518,2.205,0.0,0.0,2.205,13.3
2015,Jan-May,16.789,1.138,0.04,0.0,1.178,7.0
2016,Jan-May,17.484,1.0,0.02,0.0,1.021,5.8
2017,Jan-May,18.044,1.269,0.044,0.0,1.313,7.3
2018,Jan-May,20.882,0.779,0.024,0.0,0.803,3.8
2019,Jan-May,21.028,1.142,0.03,0.0,1.172,5.6
2020,Jan-May,22.14,1.951,0.062,0.0,2.012,9.1
2021,Jan-May,22.753,2.091,0.218,0.0,2.309,10.1
2022,Jan-May,24.933,3.977,0.426,0.0,4.402,17.7
2023,Jan-May,25.88,3.13,0.15,0.0,3.28,12.7
2024,Jan-May,26.155,3.311,0.126,0.0,3.437,13.1
2025,Sep-Dec,27.32,2.106,0.115,0.0,2.221,8.1
2026,Sep-Dec,28.095,2.402,0.019,0.0,2.421,8.6
