pcode,year,junjul_mm,n_pix
NE001004,1981,11.54753589630127,4833
NE001005,1981,43.19792556762695,2074
NE008001,1981,244.79110717773438,17
NE004003,1981,166.7501678466797,357
NE003004,1981,256.0987548828125,300
NE003002,1981,290.18585205078125,53
NE007004,1981,113.93473815917969,698
NE007009,1981,76.45026397705078,806
NE003001,1981,230.9380340576172,105
NE004008,1981,154.1309814453125,218
NE003007,1981,225.905517578125,90
NE002003,1981,140.1044464111328,268
NE005010,1981,58.86273193359375,1005
NE005008,1981,220.03292846679688,50
NE001002,1981,27.74652099609375,2096
NE001001,1981,67.99836730957031,1741
NE003008,1981,273.70294189453125,93
NE006010,1981,275.5010986328125,213
NE003003,1981,199.06561279296875,279
NE005011,1981,100.1380386352539,371
NE004009,1981,166.1132354736328,178
NE004005,1981,182.23768615722656,157
NE005002,1981,174.6034393310547,102
NE005003,1981,223.61520385742188,106
NE001006,1981,53.344032287597656,1062
NE006011,1981,165.85086059570312,314
NE006008,1981,228.89663696289062,304
NE005012,1981,100.6905288696289,593
NE004004,1981,218.80885314941406,33
NE002006,1981,76.11066436767578,330
NE004002,1981,144.37542724609375,192
NE006007,1981,177.1692657470703,141
NE005005,1981,194.78912353515625,125
NE005009,1981,140.46218872070312,389
NE004007,1981,186.42764282226562,1
NE004001,1981,185.95225524902344,58
NE007003,1981,212.82298278808594,145
NE004006,1981,194.18675231933594,125
NE006004,1981,124.70890808105469,214
NE006002,1981,122.7222671508789,100
NE003005,1981,225.08407592773438,51
NE007006,1981,225.8841094970703,131
NE005004,1981,180.42091369628906,124
NE007007,1981,161.8631591796875,123
NE006009,1981,157.81259155273438,488
NE006003,1981,203.33673095703125,44
NE002002,1981,114.06556701660156,180
NE006013,1981,246.09521484375,202
NE005007,1981,213.14276123046875,151
NE006001,1981,127.54924011230469,429
NE002005,1981,16.87556266784668,3920
NE007005,1981,221.15000915527344,74
NE007001,1981,118.63091278076172,309
NE005006,1981,157.08261108398438,124
NE007002,1981,90.28885650634766,173
NE006012,1981,143.18621826171875,170
NE006006,1981,179.3112335205078,350
NE001003,1981,3.4862899780273438,9604
NE007008,1981,137.79542541503906,112
NE007010,1981,26.771726608276367,2333
NE003006,1981,311.22064208984375,82
NE005013,1981,147.49267578125,25
NE005001,1981,114.78719329833984,464
NE007011,1981,153.0390625,16
NE006005,1981,171.46839904785156,48
NE002004,1981,121.79804992675781,252
NE002001,1981,92.58613586425781,59
NE001004,1982,7.770194053649902,4833
NE001005,1982,20.722566604614258,2074
NE008001,1982,135.85214233398438,17
NE004003,1982,96.35542297363281,357
NE003004,1982,183.22225952148438,300
NE003002,1982,194.24331665039062,53
NE007004,1982,107.64153289794922,698
NE007009,1982,61.1849365234375,806
NE003001,1982,146.04055786132812,105
NE004008,1982,117.13363647460938,218
NE003007,1982,141.89999389648438,90
NE002003,1982,93.67420959472656,268
NE005010,1982,30.656692504882812,1005
NE005008,1982,164.50360107421875,50
NE001002,1982,10.15510368347168,2096
NE001001,1982,30.30136489868164,1741
NE003008,1982,192.233642578125,93
NE006010,1982,220.3485565185547,213
NE003003,1982,155.81761169433594,279
NE005011,1982,68.41128540039062,371
NE004009,1982,133.69189453125,178
NE004005,1982,107.04918670654297,157
NE005002,1982,143.1919403076172,102
NE005003,1982,197.3101348876953,106
NE001006,1982,23.067365646362305,1062
NE006011,1982,129.24087524414062,314
NE006008,1982,128.87847900390625,304
NE005012,1982,78.4976577758789,593
NE004004,1982,146.4816131591797,33
NE002006,1982,28.90712547302246,330
NE004002,1982,70.7897720336914,192
NE006007,1982,151.96803283691406,141
NE005005,1982,136.84776306152344,125
NE005009,1982,108.66838073730469,389
NE004007,1982,127.61965942382812,1
NE004001,1982,140.92144775390625,58
NE007003,1982,141.88609313964844,145
NE004006,1982,129.00099182128906,125
NE006004,1982,90.74592590332031,214
NE006002,1982,83.7819595336914,100
NE003005,1982,199.33480834960938,51
NE007006,1982,170.22328186035156,131
NE005004,1982,127.7147445678711,124
NE007007,1982,154.07371520996094,123
NE006009,1982,102.19696044921875,488
NE006003,1982,118.83075714111328,44
NE002002,1982,53.49977111816406,180
NE006013,1982,172.07994079589844,202
NE005007,1982,117.05256652832031,151
NE006001,1982,103.73995971679688,429
NE002005,1982,7.909500598907471,3920
NE007005,1982,156.16580200195312,74
NE007001,1982,56.809505462646484,309
NE005006,1982,139.4542999267578,124
NE007002,1982,109.80296325683594,173
NE006012,1982,114.14535522460938,170
NE006006,1982,113.23157501220703,350
NE001003,1982,2.959373950958252,9604
NE007008,1982,124.9705810546875,112
NE007010,1982,21.192636489868164,2333
NE003006,1982,209.192626953125,82
NE005013,1982,98.12664031982422,25
NE005001,1982,76.45771789550781,464
NE007011,1982,154.11981201171875,16
NE006005,1982,128.0904998779297,48
NE002004,1982,60.5899772644043,252
NE002001,1982,29.059221267700195,59
NE001004,1983,7.590245246887207,4833
NE001005,1983,31.01946258544922,2074
NE008001,1983,246.7322998046875,17
NE004003,1983,144.26443481445312,357
NE003004,1983,239.5143280029297,300
NE003002,1983,215.12115478515625,53
NE007004,1983,105.21920013427734,698
NE007009,1983,65.43273162841797,806
NE003001,1983,236.63720703125,105
NE004008,1983,149.69586181640625,218
NE003007,1983,230.75399780273438,90
NE002003,1983,58.157955169677734,268
NE005010,1983,34.36890411376953,1005
NE005008,1983,147.47454833984375,50
NE001002,1983,12.652959823608398,2096
NE001001,1983,51.00738525390625,1741
NE003008,1983,212.37635803222656,93
NE006010,1983,251.09268188476562,213
NE003003,1983,164.9384765625,279
NE005011,1983,70.54608154296875,371
NE004009,1983,136.57911682128906,178
NE004005,1983,174.42877197265625,157
NE005002,1983,124.83797454833984,102
NE005003,1983,144.1882781982422,106
NE001006,1983,36.15191650390625,1062
NE006011,1983,112.78803253173828,314
NE006008,1983,235.84300231933594,304
NE005012,1983,74.7857666015625,593
NE004004,1983,173.562255859375,33
NE002006,1983,38.31806182861328,330
NE004002,1983,110.18488311767578,192
NE006007,1983,181.49827575683594,141
NE005005,1983,135.7290802001953,125
NE005009,1983,107.95507049560547,389
NE004007,1983,175.9759979248047,1
NE004001,1983,181.3580780029297,58
NE007003,1983,183.49436950683594,145
NE004006,1983,187.47958374023438,125
NE006004,1983,95.33150482177734,214
NE006002,1983,73.95089721679688,100
NE003005,1983,225.83798217773438,51
NE007006,1983,168.20179748535156,131
NE005004,1983,140.0650634765625,124
NE007007,1983,146.7898712158203,123
NE006009,1983,144.17434692382812,488
NE006003,1983,209.33950805664062,44
NE002002,1983,49.42390441894531,180
NE006013,1983,239.6990966796875,202
NE005007,1983,158.88983154296875,151
NE006001,1983,117.48828887939453,429
NE002005,1983,9.190057754516602,3920
NE007005,1983,138.21908569335938,74
NE007001,1983,76.09552001953125,309
NE005006,1983,132.4447784423828,124
NE007002,1983,115.60122680664062,173
NE006012,1983,128.4817352294922,170
NE006006,1983,172.58172607421875,350
NE001003,1983,3.267648935317993,9604
NE007008,1983,114.8133544921875,112
NE007010,1983,25.33213996887207,2333
NE003006,1983,257.6317138671875,82
NE005013,1983,104.98007202148438,25
NE005001,1983,89.31913757324219,464
NE007011,1983,136.33432006835938,16
NE006005,1983,102.64971160888672,48
NE002004,1983,44.5998420715332,252
NE002001,1983,40.581424713134766,59
NE001004,1984,6.71816349029541,4833
NE001005,1984,21.837854385375977,2074
NE008001,1984,103.86153411865234,17
NE004003,1984,73.54680633544922,357
NE003004,1984,140.8524627685547,300
NE003002,1984,134.96774291992188,53
NE007004,1984,50.815269470214844,698
NE007009,1984,23.775983810424805,806
NE003001,1984,131.7985076904297,105
NE004008,1984,83.47267150878906,218
NE003007,1984,116.87481689453125,90
NE002003,1984,59.33392333984375,268
NE005010,1984,25.67375946044922,1005
NE005008,1984,98.00132751464844,50
NE001002,1984,11.318719863891602,2096
NE001001,1984,22.880102157592773,1741
NE003008,1984,123.82206726074219,93
NE006010,1984,181.30677795410156,213
NE003003,1984,103.3521957397461,279
