pcode,year,n_rain,rain_rp,veg_rp,cdi
NE001001,1991,3,1.5666666666666667,11.0,5
NE001001,1992,3,1.6818181818181817,1.8333333333333335,0
NE001001,1993,3,3.6153846153846154,2.588235294117647,0
NE001001,1994,3,2.1363636363636362,1.375,0
NE001001,1995,3,4.7,44.0,5
NE001001,1996,3,7.833333333333334,8.8,3
NE001001,1997,3,2.9375,2.2,0
NE001001,1998,4,1.260053619302949,1.375,0
NE001001,1999,4,1.2550066755674234,1.375,0
NE001001,2000,4,1.7358490566037736,4.0,0
NE001001,2001,4,2.6387596899224808,6.285714285714286,5
NE001001,2002,4,2.0857843137254903,1.6296296296296295,0
NE001001,2003,4,1.6675665252603162,1.7599999999999998,0
NE001001,2004,4,5.49428208386277,2.0,1
NE001001,2005,4,2.0781134856300665,44.0,5
NE001001,2006,4,26.35514018691589,22.0,4
NE001001,2007,4,1.441761965268954,8.8,5
NE001001,2008,4,1.6062407132243686,2.75,0
NE001001,2009,4,6.642089093701997,3.3846153846153846,1
NE001001,2010,4,1.0483523252232831,1.8333333333333335,0
NE001001,2011,4,1.955617198335645,3.142857142857143,0
NE001001,2012,4,1.7934467026130236,2.0,0
NE001001,2013,4,4.725543478260869,3.142857142857143,0
NE001001,2014,4,2.0629770992366416,4.0,0
NE001001,2015,4,2.3149113660062564,2.588235294117647,0
NE001001,2016,4,1.3908009006111288,2.2,0
NE001001,2017,4,1.8973233874506361,1.5714285714285714,0
NE001001,2018,4,1.2558814986930005,1.375,0
NE001001,2019,4,1.7439120188531028,1.8333333333333335,0
NE001001,2020,4,1.854202401372213,1.517241379310345,0
NE001001,2021,4,1.7074128620520372,1.517241379310345,0
NE001001,2022,4,3.022508038585209,1.6923076923076923,0
NE001001,2023,4,4.331257783312577,2.3157894736842106,0
NE001001,2024,4,1.0935761254425898,1.375,0
NE001001,2025,4,1.1161387631975868,1.375,0
NE001001,2026,4,6.51310861423221,2.75,1
NE001002,1991,2,1.8198653198653196,11.0,6
NE001002,1992,2,1.3679215438152483,1.8333333333333335,6
NE001002,1993,2,3.442675159235668,2.588235294117647,6
NE001002,1994,2,1.6231231231231231,1.375,6
NE001002,1995,2,2.489349453080023,44.0,6
NE001002,1996,2,5.49428208386277,8.8,6
NE001002,1997,2,1.1349081364829396,2.2,6
NE001002,1998,3,1.7407407407407405,1.375,6
NE001002,1999,3,1.6666666666666667,1.375,6
NE001002,2000,3,2.1904761904761907,4.0,6
NE001002,2001,3,2.7058823529411766,6.285714285714286,6
NE001002,2002,3,2.0,1.6296296296296295,6
NE001002,2003,3,2.3076923076923075,1.7599999999999998,6
NE001002,2004,3,5.111111111111111,2.0,6
NE001002,2005,3,4.7,44.0,6
NE001002,2006,3,3.8333333333333335,22.0,6
NE001002,2007,3,1.4375,8.8,6
NE001002,2008,3,1.7647058823529411,2.75,6
NE001002,2009,3,7.5,3.3846153846153846,6
NE001002,2010,3,1.1794871794871795,1.8333333333333335,6
NE001002,2011,3,1.6785714285714286,3.142857142857143,6
NE001002,2012,3,1.1538461538461537,2.0,6
NE001002,2013,3,30.0,3.142857142857143,6
NE001002,2014,3,9.4,4.0,6
NE001002,2015,3,1.2777777777777777,2.588235294117647,6
NE001002,2016,3,1.586206896551724,2.2,6
NE001002,2017,3,2.1363636363636362,1.5714285714285714,6
NE001002,2018,3,1.119047619047619,1.375,6
NE001002,2019,3,1.0344827586206897,1.8333333333333335,6
NE001002,2020,3,1.84,1.517241379310345,6
NE001002,2021,3,5.0,1.517241379310345,6
NE001002,2022,3,5.222222222222222,1.6923076923076923,6
NE001002,2023,3,7.666666666666667,2.3157894736842106,6
NE001002,2024,3,1.5666666666666667,1.375,6
NE001002,2025,3,1.2702702702702702,1.375,6
NE001002,2026,3,6.0,2.75,6
NE001003,1991,2,1.6020748425342717,11.0,6
NE001003,1992,2,1.625563909774436,1.8333333333333335,6
NE001003,1993,2,2.206122448979592,2.588235294117647,6
NE001003,1994,2,1.288822652757079,1.375,6
NE001003,1995,2,1.4485762144053602,44.0,6
NE001003,1996,2,3.0111420612813373,8.8,6
NE001003,1997,2,1.7541582150101418,2.2,6
NE001003,1998,3,1.5666666666666667,1.375,6
NE001003,1999,3,1.0714285714285714,1.375,6
NE001003,2000,3,1.9166666666666667,4.0,6
NE001003,2001,3,23.5,6.285714285714286,6
NE001003,2002,3,2.1904761904761907,1.6296296296296295,6
NE001003,2003,3,3.2857142857142856,1.7599999999999998,6
NE001003,2004,3,2.0,2.0,6
NE001003,2005,3,1.7647058823529411,44.0,6
NE001003,2006,3,2.875,22.0,6
NE001003,2007,3,1.2,8.8,6
NE001003,2008,3,1.4242424242424243,2.75,6
NE001003,2009,3,5.0,3.3846153846153846,6
NE001003,2010,3,1.3043478260869565,1.8333333333333335,6
NE001003,2011,3,5.111111111111111,3.142857142857143,6
NE001003,2012,3,1.5161290322580647,2.0,6
NE001003,2013,3,5.875,3.142857142857143,6
