pcode,year,junjul_mm,n_months
NE001001,1981,24.015953200000002,2
NE001001,1982,3.58592955,2
NE001001,1983,16.74140865,2
NE001001,1984,1.812348176,2
NE001001,1985,11.00812775,2
NE001001,1986,12.12475187,2
NE001001,1987,5.6694972,2
NE001001,1988,19.9259105,2
NE001001,1989,12.066186250000001,2
NE001001,1990,14.3620533,2
NE001001,1991,20.5825182,2
NE001001,1992,20.15076542,2
NE001001,1993,7.06991098,2
NE001001,1994,11.186294011,2
NE001001,1995,6.846172809999999,2
NE001001,1996,4.43600727,2
NE001001,1997,6.09701351,2
NE001001,1998,19.57573903,2
NE001001,1999,30.1524889941,2
NE001001,2000,32.20504702,2
NE001001,2001,14.08329966,2
NE001001,2002,17.579845015,2
NE001001,2003,13.57944994,2
NE001001,2004,7.521788859999999,2
NE001001,2005,16.4956452,2
NE001001,2006,3.463450674,2
NE001001,2007,14.68544064,2
NE001001,2008,10.87928348,2
NE001001,2009,7.738437579999999,2
NE001001,2010,65.8934873,2
NE001001,2011,7.09145912,2
NE001001,2012,13.39154457,2
NE001001,2013,8.14446001,2
NE001001,2014,11.02153937,2
NE001001,2015,7.62031941,2
NE001001,2016,22.0456378,2
NE001001,2017,20.60126645,2
NE001001,2018,14.575665059999999,2
NE001001,2019,11.12441423,2
NE001001,2020,8.88824022,2
NE001001,2021,8.705511192000001,2
NE001001,2022,9.49832797,2
NE001001,2023,3.254600418,2
NE001001,2024,7.951207159999999,2
NE001001,2025,8.08673062,2
NE001001,2026,6.39606519,2
NE001002,1981,17.01551852,2
NE001002,1982,1.6105169668000001,2
NE001002,1983,2.9592400910000003,2
NE001002,1984,0.37389837940000004,2
NE001002,1985,3.078613866,2
NE001002,1986,4.942633249999999,2
NE001002,1987,2.58743126,2
NE001002,1988,4.436755154,2
NE001002,1989,6.022690449999999,2
NE001002,1990,5.448384704,2
NE001002,1991,4.71851217,2
NE001002,1992,7.008603519999999,2
NE001002,1993,1.5841296589999998,2
NE001002,1994,1.3682546099,2
NE001002,1995,3.42694046,2
NE001002,1996,2.297393644,2
NE001002,1997,2.948263075,2
NE001002,1998,8.16843025,2
NE001002,1999,4.9821433,2
NE001002,2000,11.72260292,2
NE001002,2001,5.44617488,2
NE001002,2002,7.1640405099999995,2
NE001002,2003,7.58355922,2
NE001002,2004,5.15650826,2
NE001002,2005,7.576570353999999,2
NE001002,2006,1.67161651,2
NE001002,2007,6.67433443,2
NE001002,2008,5.199469544,2
NE001002,2009,3.4476881500000003,2
NE001002,2010,13.44118795,2
NE001002,2011,7.04635352,2
NE001002,2012,8.327206010000001,2
NE001002,2013,1.9650080219999997,2
NE001002,2014,2.4289135990000004,2
NE001002,2015,5.53436483,2
NE001002,2016,13.826534259999999,2
NE001002,2017,9.914789249999998,2
NE001002,2018,5.606902294999999,2
NE001002,2019,11.498408730000001,2
NE001002,2020,3.3413682999999996,2
NE001002,2021,3.19448607,2
NE001002,2022,5.47952158,2
NE001002,2023,2.5857534950000005,2
NE001002,2024,4.53409536,2
NE001002,2025,6.6183762999999995,2
NE001002,2026,4.55412529,2
NE001003,1981,1.15032482,2
NE001003,1982,0.26973686607999997,2
NE001003,1983,0.5959474623000001,2
NE001003,1984,0.02032844096,2
NE001003,1985,0.429805245,2
NE001003,1986,0.6403749329999999,2
NE001003,1987,1.132764921,2
NE001003,1988,1.228770921,2
NE001003,1989,0.1260111744,2
NE001003,1990,2.3226102099999997,2
NE001003,1991,0.32168556600000003,2
NE001003,1992,1.3266090209999999,2
NE001003,1993,0.0748388616,2
NE001003,1994,1.004007943,2
NE001003,1995,1.5735611600000001,2
NE001003,1996,0.3432137852,2
NE001003,1997,0.9495418199999999,2
NE001003,1998,1.532393793,2
NE001003,1999,2.47466273,2
NE001003,2000,2.781302026,2
NE001003,2001,0.253510839,2
NE001003,2002,1.3578184759999998,2
NE001003,2003,0.34079859700000004,2
NE001003,2004,1.1616813066999998,2
NE001003,2005,1.641312567,2
NE001003,2006,0.12341247300000001,2
NE001003,2007,0.771980184,2
NE001003,2008,0.895458916,2
NE001003,2009,0.620258714,2
NE001003,2010,2.45966484,2
NE001003,2011,0.1783981044,2
NE001003,2012,0.7011611179999999,2
NE001003,2013,0.41630468,2
NE001003,2014,0.1385547865,2
NE001003,2015,0.608081324,2
NE001003,2016,1.610261203,2
NE001003,2017,3.037722057,2
NE001003,2018,1.1118751075,2
NE001003,2019,0.6766482269999999,2
NE001003,2020,0.472603202,2
NE001003,2021,0.23817336549999998,2
NE001003,2022,0.587103049,2
NE001003,2023,0.5609764384,2
NE001003,2024,0.347024333,2
NE001003,2025,1.0679060169999999,2
NE001003,2026,0.61362281,2
NE001004,1981,7.422411115,2
NE001004,1982,1.09390938858,2
NE001004,1983,1.9817510500000002,2
NE001004,1984,0.01850907946,2
NE001004,1985,0.35899831849999997,2
NE001004,1986,0.753695604,2
NE001004,1987,0.9679689699999999,2
NE001004,1988,1.159331154,2
NE001004,1989,1.7554388300000001,2
NE001004,1990,1.2265119467699999,2
NE001004,1991,1.8981685640000001,2
NE001004,1992,3.4909464800000003,2
NE001004,1993,0.0948346882,2
NE001004,1994,0.69005411205,2
NE001004,1995,0.8745187640000001,2
NE001004,1996,0.5114243075,2
NE001004,1997,1.476925883,2
NE001004,1998,4.11858367,2
NE001004,1999,2.98803849206,2
NE001004,2000,5.48525138,2
NE001004,2001,1.9817288370000001,2
NE001004,2002,4.709102980999999,2
NE001004,2003,3.035683556,2
NE001004,2004,2.248288273,2
NE001004,2005,5.186369708999999,2
NE001004,2006,0.5109220480000001,2
NE001004,2007,2.076655742,2
NE001004,2008,3.19002025,2
NE001004,2009,1.19749553,2
NE001004,2010,5.8413463299999995,2
NE001004,2011,1.82347602,2
NE001004,2012,2.0866508550000002,2
NE001004,2013,0.484220376,2
NE001004,2014,0.4449980235,2
NE001004,2015,2.023789167,2
NE001004,2016,6.754427229999999,2
NE001004,2017,5.31450354,2
NE001004,2018,2.24280811,2
NE001004,2019,3.3154151799999996,2
