season_year,fc_log,fc_log_dt,pcode,adm_level,trimester
1981,1.1360324179567571,1.200916723569692,NE006,1,JJA
1982,0.9102998753060006,0.9722348943001659,NE006,1,JJA
1983,0.8313520530102942,0.8903377853856898,NE006,1,JJA
1984,0.5565912773366629,0.6126277230932887,NE006,1,JJA
1985,1.0295195516321332,1.0826067107699893,NE006,1,JJA
1986,0.9525120330031881,1.0026499055222744,NE006,1,JJA
1987,0.8870587390480209,0.9342473249483376,NE006,1,JJA
1988,1.315293325940769,1.359532625222316,NE006,1,JJA
1989,1.1730284723459627,1.21431848500874,NE006,1,JJA
1990,0.9133666426707228,0.9517073687147295,NE006,1,JJA
1991,1.1996890007248409,1.235080440150078,NE006,1,JJA
1992,1.021769379907856,1.0542115327143233,NE006,1,JJA
1993,0.9935521137934313,1.023044979981129,NE006,1,JJA
1994,1.418603381820158,1.445146961389086,NE006,1,JJA
1995,1.1412294507128256,1.1648237436629838,NE006,1,JJA
1996,0.8883563837009736,0.9090013900323621,NE006,1,JJA
1997,0.7898386805241837,0.8075344002368026,NE006,1,JJA
1998,1.322042342152289,1.3367887752461383,NE006,1,JJA
1999,1.3232854292141694,1.3350825756892488,NE006,1,JJA
2000,0.7488314084999739,0.7576792683562827,NE006,1,JJA
2001,1.2422420973071135,1.2481406705446527,NE006,1,JJA
2002,1.0552945110815823,1.0582437977003518,NE006,1,JJA
2003,1.2158654729351794,1.2158654729351792,NE006,1,JJA
2004,0.8581837260318296,0.8552344394130597,NE006,1,JJA
2005,1.0808379785502207,1.074939405312681,NE006,1,JJA
2006,1.0095596328760728,1.0007117730197634,NE006,1,JJA
2007,1.1900609334166319,1.1782637869415529,NE006,1,JJA
2008,1.0677460046511287,1.05299957155728,NE006,1,JJA
2009,0.8451808296744412,0.8274851099618228,NE006,1,JJA
2010,1.2997776336958484,1.2791326273644603,NE006,1,JJA
2011,0.8014036160202735,0.7778093230701149,NE006,1,JJA
2012,1.178747305953081,1.1522037263841527,NE006,1,JJA
2013,1.1363873566640244,1.1068944904763263,NE006,1,JJA
2014,1.0487599851190261,1.0163178323125583,NE006,1,JJA
2015,1.209646524588882,1.1742550851636446,NE006,1,JJA
2016,1.2011720732355398,1.1628313471915326,NE006,1,JJA
2017,1.0854383219560544,1.0441483092932775,NE006,1,JJA
2018,1.2015513229350057,1.157312023653459,NE006,1,JJA
2019,1.029631761750907,0.9824431758505907,NE006,1,JJA
2020,1.1036661820214868,1.0535283095024008,NE006,1,JJA
2021,0.8966867481572802,0.8435995890194246,NE006,1,JJA
2022,1.1588000580232563,1.10276361226663,NE006,1,JJA
2023,1.0156328757693498,0.9566471433939538,NE006,1,JJA
2024,1.24455566809817,1.1826206491040043,NE006,1,JJA
2025,1.060211417138819,0.9953271115258837,NE006,1,JJA
2026,0.7525569890897195,0.6847233968580144,NE006,1,JJA
1981,1.1189981959160138,1.2339735445903866,NE006,1,JAS
1982,0.8692904817548086,0.979039678216709,NE006,1,JAS
1983,0.8625300214693745,0.9670530657188043,NE006,1,JAS
1984,0.5717988432373581,0.6710957352743155,NE006,1,JAS
1985,1.0648688613405322,1.158939601165019,NE006,1,JAS
1986,1.0392701508505817,1.128114738462598,NE006,1,JAS
1987,0.9572977122872196,1.0409161476867634,NE006,1,JAS
1988,1.2633693176043432,1.3417616007914166,NE006,1,JAS
1989,1.248508400058653,1.321674531033254,NE006,1,JAS
1990,0.94000236138847,1.0079423401506005,NE006,1,JAS
1991,1.1842014323176948,1.2469152588673529,NE006,1,JAS
1992,1.018191899039812,1.0756795733769995,NE006,1,JAS
1993,1.0435555149607465,1.0958170370854616,NE006,1,JAS
1994,1.4294002531942707,1.4764356231065152,NE006,1,JAS
1995,1.2540137408668484,1.2958229585666223,NE006,1,JAS
1996,0.903518606214447,0.9401016717017486,NE006,1,JAS
1997,0.8734073034441022,0.9047642167189333,NE006,1,JAS
1998,1.3317899196567191,1.3579206807190778,NE006,1,JAS
1999,1.4634723152220577,1.4843769240719458,NE006,1,JAS
2000,0.7764313764295069,0.7921098330669226,NE006,1,JAS
2001,1.2873800104997792,1.2978323149247244,NE006,1,JAS
2002,1.1791375567332154,1.1843637089456882,NE006,1,JAS
2003,1.2870585187201624,1.2870585187201646,NE006,1,JAS
2004,1.0020349885880147,0.9968088363755463,NE006,1,JAS
2005,1.1370302162760326,1.126577911851092,NE006,1,JAS
2006,1.2281449666459903,1.212466510008579,NE006,1,JAS
2007,1.273365206545283,1.2524605976953993,NE006,1,JAS
2008,1.1004932963524516,1.0743625352900974,NE006,1,JAS
2009,0.8411585844607785,0.8098016711859519,NE006,1,JAS
2010,1.470994322839985,1.434411257352688,NE006,1,JAS
2011,1.0163210586674458,0.9745118409676763,NE006,1,JAS
2012,1.2270169261650632,1.179981556252823,NE006,1,JAS
2013,1.205194377377196,1.1529328552524853,NE006,1,JAS
2014,1.2038113328539854,1.1463236585168024,NE006,1,JAS
2015,1.3556910205434893,1.2929771939938357,NE006,1,JAS
2016,1.2009293229319575,1.1329893441698315,NE006,1,JAS
2017,0.9993056439646274,0.9261395129900308,NE006,1,JAS
2018,1.274403787033925,1.1960115038468562,NE006,1,JAS
2019,1.0629591879147908,0.9793407525152513,NE006,1,JAS
2020,1.1942663892127525,1.1054218016007407,NE006,1,JAS
2021,1.021014677181249,0.9269439373567665,NE006,1,JAS
2022,1.3937795537563846,1.2944826617194316,NE006,1,JAS
2023,1.0970250144450289,0.9925019701956035,NE006,1,JAS
2024,1.330329176817862,1.220579980355966,NE006,1,JAS
2025,1.1799038874685595,1.0649285387941911,NE006,1,JAS
2026,0.8607013714080571,0.7404998705212182,NE006,1,JAS
1981,0.7839673697811995,0.9456438936380362,NE006,1,ASO
1982,0.614584749694003,0.7689123406482558,NE006,1,ASO
1983,0.6671109861550949,0.8140896442067654,NE006,1,ASO
1984,0.4523476231700272,0.5919773483191137,NE006,1,ASO
1985,0.8455588510742541,0.9778396433207567,NE006,1,ASO
1986,0.6799271398207333,0.8048589991646536,NE006,1,ASO
1987,0.8829324459977682,1.0005153724391045,NE006,1,ASO
1988,1.0417146581187753,1.1519486516575277,NE006,1,ASO
1989,1.1164980597178564,1.2193831203540249,NE006,1,ASO
