pcode,adm_level,name,trimester,pearson_r,n_years,forecast_mean_log,forecast_percentile,forecast_rp,n_hist
NE006,1,Tillabéri,JJA,0.7506169911019578,45,0.7525569890897197,4.444444444444445,15.333333333333334,45
NE006,1,Tillabéri,JAS,0.7198805834239947,45,0.8607013714080572,6.666666666666667,11.5,45
NE006,1,Tillabéri,ASO,0.6518423034401686,45,0.788494581498139,22.22222222222222,4.181818181818182,45
NE006,1,Tillabéri,SON,0.12590126497519305,45,0.37512730587286436,46.666666666666664,2.090909090909091,45
NE003,1,Dosso,JJA,0.7945591555563951,45,0.920966667572918,2.2222222222222223,23.0,45
NE003,1,Dosso,JAS,0.7739857468070163,45,1.0108902375932414,2.2222222222222223,23.0,45
NE003,1,Dosso,ASO,0.7173783149335934,45,0.9567004230822505,15.555555555555555,5.75,45
NE003,1,Dosso,SON,0.22690800497914373,45,0.4928000471067991,28.888888888888886,3.2857142857142856,45
NE004,1,Maradi,JJA,0.716387095984996,45,0.7535531949132186,2.2222222222222223,23.0,45
NE004,1,Maradi,JAS,0.6934259141997107,45,0.9106789140514574,13.333333333333334,6.571428571428571,45
NE004,1,Maradi,ASO,0.702736479544246,45,0.826766296425816,26.666666666666668,3.5384615384615383,45
NE004,1,Maradi,SON,0.28808088100101414,45,0.41954677513391,51.11111111111111,1.9166666666666667,45
NE007,1,Zinder,JJA,0.857341309380427,45,0.5248643039598169,6.666666666666667,11.5,45
NE007,1,Zinder,JAS,0.8288506349155641,45,0.6276255590154909,13.333333333333334,6.571428571428571,45
NE007,1,Zinder,ASO,0.8139837307747443,45,0.5410173854950543,31.11111111111111,3.066666666666667,45
NE007,1,Zinder,SON,0.3980312712518743,45,0.2111475506183845,57.77777777777777,1.7037037037037037,45
NE008,1,Niamey,JJA,0.7562956206434853,45,0.835954477859978,4.444444444444445,15.333333333333334,45
NE008,1,Niamey,JAS,0.6666484840477364,45,0.919818678469647,8.88888888888889,9.2,45
NE008,1,Niamey,ASO,0.5601100522259627,45,0.8104335786102213,13.333333333333334,6.571428571428571,45
NE008,1,Niamey,SON,0.06488269562460876,45,0.41180183366806505,37.77777777777778,2.5555555555555554,45
NE001,1,Agadez,JJA,0.722457176091373,45,0.11958908974811536,40.0,2.4210526315789473,45
NE001,1,Agadez,JAS,0.6999757926061677,45,0.13904963261044354,48.888888888888886,2.0,45
NE001,1,Agadez,ASO,0.6657556247753579,45,0.12705349080555545,57.77777777777777,1.7037037037037037,45
NE001,1,Agadez,SON,0.29055297200441316,45,0.043774268598717435,75.55555555555556,1.3142857142857143,45
NE005,1,Tahoua,JJA,0.7005254517100519,45,0.5136030624772165,4.444444444444445,15.333333333333334,45
