year,month,rolling_threshold,actual_prob,triggered
2001,Jan,43.5,51.3,True
2001,Feb,44.3,47.6,True
2001,Mar,46.2,48.7,True
2001,Apr,46.0,49.1,True
2001,May,47.7,46.1,False
2001,Jun,44.6,47.9,True
2002,Jan,44.3,35.6,False
2002,Feb,44.3,41.6,False
2002,Mar,48.0,43.8,False
2002,Apr,47.5,44.4,False
2002,May,47.7,47.0,False
2002,Jun,44.6,51.4,True
2003,Jan,43.5,28.7,False
2003,Feb,44.3,27.4,False
2003,Mar,46.2,28.6,False
2003,Apr,44.7,29.7,False
2003,May,47.0,27.2,False
2003,Jun,45.9,25.6,False
2004,Jan,42.2,38.8,False
2004,Feb,43.2,38.9,False
2004,Mar,43.8,44.2,True
2004,Apr,44.4,42.7,False
2004,May,46.1,45.6,False
2004,Jun,39.5,49.0,True
2005,Jan,40.8,36.7,False
2005,Feb,42.5,39.1,False
2005,Mar,43.8,39.3,False
2005,Apr,44.4,38.8,False
2005,May,46.1,40.2,False
2005,Jun,45.9,26.5,False
2006,Jan,40.8,42.5,True
2006,Feb,42.5,38.2,False
2006,Mar,43.8,43.6,False
2006,Apr,44.4,47.1,True
2006,May,46.1,45.1,False
2006,Jun,45.9,49.0,True
2007,Jan,40.8,28.8,False
2007,Feb,41.6,26.5,False
2007,Mar,43.8,22.2,False
2007,Apr,44.4,30.7,False
2007,May,45.6,28.0,False
2007,Jun,47.9,23.4,False
2008,Jan,38.8,33.9,False
2008,Feb,41.4,29.1,False
2008,Mar,43.6,32.0,False
2008,Apr,44.2,26.1,False
2008,May,45.1,35.3,False
2008,Jun,47.9,33.8,False
2009,Jan,38.8,40.6,True
2009,Feb,41.4,42.1,True
2009,Mar,43.6,38.2,False
2009,Apr,44.2,35.2,False
2009,May,45.1,39.3,False
2009,Jun,47.9,39.1,False
2010,Jan,38.8,39.3,True
2010,Feb,41.6,28.6,False
2010,Mar,43.6,26.5,False
2010,Apr,44.2,24.5,False
2010,May,45.1,22.3,False
2010,Jun,47.9,30.6,False
2011,Jan,39.3,42.6,True
2011,Feb,39.1,41.6,True
2011,Mar,43.6,38.1,False
2011,Apr,42.7,38.1,False
2011,May,45.1,38.4,False
2011,Jun,47.9,32.6,False
2012,Jan,39.3,34.6,False
2012,Feb,39.1,33.7,False
2012,Mar,39.3,35.5,False
2012,Apr,38.8,33.2,False
2012,May,40.2,35.3,False
2012,Jun,39.1,26.3,False
2013,Jan,39.3,30.7,False
2013,Feb,38.9,31.9,False
2013,Mar,38.2,29.0,False
2013,Apr,38.1,32.4,False
2013,May,39.3,36.4,False
2013,Jun,33.8,31.8,False
2014,Jan,39.3,34.1,False
2014,Feb,38.9,40.7,True
2014,Mar,38.2,36.4,False
2014,Apr,38.1,33.6,False
2014,May,39.3,35.1,False
2014,Jun,33.8,33.3,False
2015,Jan,39.3,37.0,False
2015,Feb,39.1,38.2,False
2015,Mar,38.1,35.1,False
2015,Apr,35.2,30.7,False
2015,May,38.4,33.5,False
2015,Jun,33.3,24.2,False
2016,Jan,39.3,16.6,False
2016,Feb,38.2,23.2,False
2016,Mar,36.4,13.5,False
2016,Apr,33.6,10.4,False
2016,May,36.4,14.7,False
2016,Jun,33.3,16.6,False
2017,Jan,37.0,29.3,False
2017,Feb,38.2,28.1,False
2017,Mar,35.5,35.0,False
2017,Apr,33.2,23.9,False
2017,May,35.3,24.7,False
2017,Jun,32.6,26.0,False
2018,Jan,37.0,15.0,False
2018,Feb,38.2,18.5,False
2018,Mar,35.5,17.8,False
2018,Apr,33.2,20.8,False
2018,May,35.3,18.2,False
2018,Jun,32.6,16.2,False
2019,Jan,37.0,19.3,False
2019,Feb,38.2,25.7,False
2019,Mar,35.5,28.5,False
2019,Apr,33.2,26.5,False
2019,May,35.3,26.7,False
2019,Jun,31.8,21.2,False
2020,Jan,34.6,11.7,False
2020,Feb,33.7,10.0,False
2020,Mar,35.1,10.8,False
2020,Apr,32.4,12.5,False
2020,May,35.1,14.4,False
2020,Jun,30.6,18.2,False
2021,Jan,34.1,9.6,False
2021,Feb,33.7,4.8,False
2021,Mar,35.1,10.4,False
2021,Apr,32.4,13.4,False
2021,May,35.1,15.8,False
2021,Jun,26.3,18.8,False
2022,Jan,30.7,17.7,False
2022,Feb,31.9,12.7,False
2022,Mar,35.0,15.3,False
2022,Apr,30.7,14.9,False
2022,May,33.5,16.5,False
2022,Jun,26.0,21.4,False
2023,Jan,29.3,24.1,False
2023,Feb,28.1,25.8,False
2023,Mar,29.0,28.2,False
2023,Apr,26.5,30.3,True
2023,May,26.7,29.5,True
2023,Jun,24.2,30.3,True
2024,Jan,24.1,16.2,False
2024,Feb,25.8,12.9,False
2024,Mar,28.5,12.7,False
2024,Apr,26.5,15.4,False
2024,May,26.7,19.3,False
2024,Jun,24.2,14.6,False
2025,Jan,19.3,12.0,False
2025,Feb,25.7,17.3,False
2025,Mar,28.2,13.9,False
2025,Apr,23.9,8.7,False
2025,May,24.7,11.7,False
2025,Jun,21.4,10.9,False
