year,jan_feb,feb_mar,mar_apr,apr_may,may_jun,forecast_arm,obs_arm,aug_spi,obs_threshold,ner_drought_v1_wt1,ner_drought_v1_wt2,either
2001,1,1,1,0,0,1,0,0.547,-0.484,True,False,True
2002,0,0,0,0,0,0,0,0.136,-0.484,False,False,False
2003,0,0,0,0,0,0,0,1.268,-0.484,False,False,False
2004,0,0,0,0,0,0,1,-0.484,-0.484,False,True,True
2005,0,0,0,0,0,0,0,1.018,-0.484,False,False,False
2006,0,0,0,0,0,0,1,-0.953,-0.484,False,True,True
2007,0,0,0,0,0,0,0,0.368,-0.484,False,False,False
2008,0,0,0,0,0,0,0,0.304,-0.484,False,False,False
2009,1,0,0,0,0,1,0,-0.438,-0.484,True,False,True
2010,0,0,0,0,0,0,0,1.104,-0.484,False,False,False
2011,1,0,0,0,0,1,0,-0.14,-0.484,True,False,True
2012,0,0,0,0,0,0,0,0.72,-0.484,False,False,False
2013,0,0,0,0,0,0,1,-0.575,-0.484,False,True,True
2014,0,0,0,0,0,0,0,-0.139,-0.484,False,False,False
2015,0,0,0,0,0,0,0,-0.483,-0.484,False,False,False
2016,0,0,0,0,0,0,0,0.783,-0.484,False,False,False
2017,0,0,0,0,0,0,0,0.586,-0.484,False,False,False
2018,0,0,0,0,0,0,0,0.355,-0.484,False,False,False
2019,0,0,0,0,0,0,0,-0.293,-0.484,False,False,False
2020,0,0,0,0,0,0,0,0.137,-0.484,False,False,False
2021,0,0,0,0,0,0,0,0.378,-0.484,False,False,False
2022,0,0,0,0,0,0,1,-0.512,-0.484,False,True,True
2023,0,0,0,1,1,1,0,-0.201,-0.484,False,True,True
2024,0,0,0,0,0,0,0,1.304,-0.484,False,False,False
2025,0,0,0,0,0,0,0,0.466,-0.484,False,False,False
